,VisitorGroup,PlatformUsed,VisitSource,BrowserName,OSName,State,Gender,IncomeRange,ViewedProductInVisit,ViewedSaleInVisit,TotalPageViews,PlacedSearch,SecondsOnSite,ClickedBanner,b_effective
7152,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Mac OS X,eastern,Female,100to250k,1,1,5,0,150,1,1
7191,Prior Visitor,Web,WebSearch,Chrome,Mac OS X,west_coast,Male,100to250k,1,1,265,0,7401,1,1
7203,New Visitor,Web,WebSearch,Chrome,Windows,,,,1,1,37,1,3100,1,1
7226,Prior Visitor,Web,EmailFromWayfair,Chrome,iOS,eastern,Male,50to100k,1,0,13,0,606,1,1
7269,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,1,124,0,3137,1,1
7364,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,17,0,10491,1,1
7465,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,,Unknown,,1,1,16,0,5799,1,1
7469,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Male,50to100k,1,1,43,1,5234,1,1
7640,Prior Visitor,Web,ThirdPartyAds,Safari,iOS,eastern,Female,100to250k,1,1,31,1,2432,1,1
7681,Prior Visitor,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,Under50k,1,0,19,0,1184,1,1
7727,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Chrome OS,eastern,Female,100to250k,1,1,26,1,1149,1,1
8276,Prior Visitor,Web,ThirdPartyAds,Safari,iOS,south_west,Female,100to250k,1,0,35,1,23518,1,1
8468,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,1,15,0,5388,1,1
8629,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Mac OS X,mid_west,Female,50to100k,1,1,10,0,3146,1,1
8689,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Male,100to250k,1,1,16,1,1003,1,1
9029,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,50to100k,1,1,64,0,5002,1,1
9036,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Unknown,100to250k,1,1,25,0,1123,1,1
9046,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,Mac OS X,eastern,Male,100to250k,1,1,52,1,1143,1,1
9104,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,west_coast,Female,50to100k,1,0,108,0,8409,1,1
9186,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,south_west,Male,100to250k,1,1,77,1,6402,1,1
9272,New Visitor,Web,WebSearch,Chrome,Windows,,,,1,1,31,1,10113,1,1
9362,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,50to100k,1,0,20,0,1171,1,1
9667,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,eastern,Female,100to250k,1,0,55,1,3150,1,1
9914,Prior Visitor,Phone,WebSearch,Safari,iOS,,Unknown,,1,0,29,1,1734,1,1
9943,Prior Visitor,Web,ThirdPartyAds,Safari,iOS,eastern,Male,100to250k,1,0,37,1,4753,1,1
10459,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Chrome OS,west_coast,Unknown,,1,1,24,1,804,1,1
10533,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,Mac OS X,mid_west,Female,Under50k,1,1,8,0,99,1,1
10881,Prior Visitor,Phone,WebSearch,Safari,iOS,,,,1,1,222,1,11162,1,1
10895,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,eastern,Male,50to100k,1,1,19,0,926,1,1
10944,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,,Unknown,,1,1,74,1,1854,1,1
10967,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,,Unknown,,1,1,26,0,5782,1,1
11178,Prior Visitor with Purchase,Web,EmailFromWayfair,Microsoft Edge,Windows,west_coast,Male,100to250k,1,1,44,0,2177,1,1
11274,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,west_coast,Female,100to250k,1,1,97,1,4453,1,1
11364,Prior Visitor with Purchase,Web,EmailFromWayfair,Microsoft Edge,Windows,eastern,Female,100to250k,1,1,38,0,12233,1,1
11643,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,,Unknown,,1,1,27,1,1006,1,1
11733,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,mid_west,Female,100to250k,1,0,40,0,17262,1,1
11765,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Chrome OS,eastern,Female,Under50k,1,1,261,0,19356,1,1
12238,Prior Visitor with Purchase,Web,EmailFromWayfair,Microsoft Edge,Windows,mid_west,Female,50to100k,1,1,27,0,1863,1,1
12364,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,west_coast,Male,50to100k,1,1,84,1,14603,1,1
12374,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,,Unknown,,1,1,9,0,366,1,1
12467,New Visitor,Phone,WebSearch,Safari,iOS,,,,1,1,37,0,726,1,1
12526,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,south_west,Unknown,,1,0,49,1,9357,1,1
12554,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,mid_west,Female,50to100k,1,1,10,0,812,1,1
12980,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,,Unknown,,1,0,6,0,1208,1,1
13010,Prior Visitor with Purchase,Web,WebSearch,Microsoft Edge,Windows,eastern,Female,100to250k,1,0,50,1,1743,1,1
13172,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,mid_west,Female,100to250k,1,1,50,1,4187,1,1
13197,Prior Visitor,Phone,WebSearch,Safari,iOS,,Unknown,,1,0,9,0,3627,1,1
13209,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,,Unknown,,1,1,21,0,1024,1,1
13376,New Visitor,Web,WebSearch,Chrome,Windows,,Unknown,,1,0,70,0,11639,1,1
13969,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,eastern,Female,Under50k,1,1,40,0,13161,1,1
14039,Prior Visitor,Web,ThirdPartyAds,Safari,iOS,eastern,Female,50to100k,1,1,25,1,1757,1,1
14158,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,mid_west,Female,Under50k,1,1,86,1,18930,1,1
14225,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Male,100to250k,1,1,17,1,267,1,1
14450,Prior Visitor,Web,ThirdPartyAds,Chrome,Windows,,,,1,1,39,1,7252,1,1
14894,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,west_coast,Unknown,,1,1,21,0,1205,1,1
14937,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,,Unknown,,1,1,18,0,1114,1,1
14991,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,Under50k,1,1,29,0,17664,1,1
15001,New Visitor,Phone,WebSearch,Safari,iOS,mid_west,Female,Under50k,1,1,35,0,9205,1,1
15084,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,mid_west,Female,Under50k,1,1,48,0,1335,1,1
15230,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,mid_west,Male,50to100k,1,1,14,0,937,1,1
15235,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,,Unknown,,1,1,10,0,256,1,1
15284,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,west_coast,Female,Under50k,1,0,77,1,8757,1,1
15772,Prior Visitor,Web,EmailFromWayfair,Safari,Mac OS X,eastern,Female,50to100k,1,1,19,1,408,1,1
15999,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,mid_west,Female,100to250k,1,1,7,0,225,1,1
16007,Prior Visitor,Web,ThirdPartyAds,Chrome,Windows,south_west,Female,100to250k,1,1,35,0,1953,1,1
16039,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,west_coast,Female,50to100k,1,1,169,1,18811,1,1
16106,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Female,50to100k,1,1,46,1,15450,1,1
16157,Prior Visitor,Phone,ThirdPartyAds,Chrome,Android,,,,1,1,15,1,953,1,1
16278,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Unknown,,1,1,20,0,1265,1,1
16383,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,eastern,Female,Under50k,1,1,258,1,40369,1,1
16420,Prior Visitor,Web,EmailFromWayfair,Safari,iOS,eastern,Male,100to250k,1,0,23,0,2180,1,1
16439,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,,Unknown,,1,1,20,0,1687,1,1
16515,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,,Unknown,,1,0,9,0,456,1,1
16520,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,eastern,Male,50to100k,1,1,46,0,1844,1,1
16551,Prior Visitor,Web,WebSearch,Chrome,Windows,mid_west,Female,50to100k,1,1,162,0,9383,1,1
16558,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,eastern,Female,Under50k,1,1,21,1,3407,1,1
16584,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,Mac OS X,eastern,Unknown,100to250k,1,1,6,0,2170,1,1
16676,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,mid_west,Unknown,Under50k,1,1,129,0,5046,1,1
16843,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Mac OS X,west_coast,Female,50to100k,1,1,120,1,8260,1,1
17424,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,mid_west,Female,100to250k,1,0,25,0,2968,1,1
17618,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,south_west,Female,50to100k,1,1,59,1,4220,1,1
17776,Prior Visitor,Phone,ThirdPartyAds,Safari,iOS,,,,1,1,26,1,2576,1,1
17816,Prior Visitor,Web,WebSearch,Chrome,Windows,south_west,Male,50to100k,1,1,29,0,859,1,1
17835,Prior Visitor,Web,WebSearch,Safari,iOS,eastern,Male,50to100k,1,1,47,1,1560,1,1
17981,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Male,50to100k,1,0,4,0,132,1,1
18098,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,south_west,Unknown,,1,1,26,0,1092,1,1
18289,Prior Visitor,Web,WebSearch,Microsoft Edge,Windows,mid_west,Female,100to250k,1,0,27,1,1126,1,1
18410,Prior Visitor,Phone,ThirdPartyAds,Safari,iOS,,,,1,1,28,0,3049,1,1
18431,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,west_coast,Female,100to250k,0,1,21,1,6644,1,1
18534,Prior Visitor,Web,ThirdPartyAds,Chrome,Windows,south_west,Female,50to100k,1,1,36,0,1307,1,1
18587,Prior Visitor,Web,WebSearch,Chrome,Mac OS X,,,,1,1,37,0,1064,1,1
18599,New Visitor,Web,WebSearch,Chrome,Windows,,,,1,0,25,0,1175,1,1
18648,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,Under50k,1,1,34,0,3228,1,1
18889,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,1,31,1,1132,1,1
18960,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Male,50to100k,1,1,54,1,1971,1,1
18972,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Mac OS X,west_coast,Female,100to250k,1,1,116,0,3777,1,1
19018,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,west_coast,Female,100to250k,1,1,75,1,13459,1,1
19201,Prior Visitor,Phone,ThirdPartyAds,Chrome,Android,,,,1,0,5,0,80,1,1
19227,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,south_west,Female,100to250k,1,1,40,1,793,1,1
19437,Prior Visitor with Purchase,Phone,ThirdPartyAds,Safari,iOS,eastern,Female,100to250k,1,1,10,0,2550,1,1
19445,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,iOS,eastern,Female,100to250k,1,0,38,0,3137,1,1
19446,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,100to250k,1,0,19,1,786,1,1
19457,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Unknown,100to250k,1,1,165,0,9274,1,1
19656,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,,Unknown,,1,1,42,1,885,1,1
19834,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,50to100k,1,1,60,0,30592,1,1
19874,New Visitor,Web,WebSearch,Safari,Mac OS X,,,,1,1,14,0,3539,1,1
20149,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,,Unknown,,1,0,32,0,12453,1,1
20208,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,mid_west,Female,Under50k,1,1,22,0,785,1,1
20338,Prior Visitor with Purchase,Phone,ThirdPartyAds,Chrome,Android,mid_west,Male,Under50k,1,0,59,0,3405,1,1
20772,Prior Visitor with Purchase,Web,WebSearch,Chrome,Android,eastern,Female,100to250k,1,1,52,1,2547,1,1
20846,Prior Visitor,Web,ThirdPartyAds,Safari,Mac OS X,,Unknown,,1,1,18,1,180,1,1
20968,Prior Visitor,Web,WebSearch,Chrome,Mac OS X,mid_west,Female,50to100k,1,1,43,0,986,1,1
21070,New Visitor,Phone,ThirdPartyAds,Chrome,Android,,,,1,1,6,0,286,1,1
21393,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,south_west,Female,100to250k,1,1,14,0,405,1,1
21424,Prior Visitor with Purchase,Phone,WebSearch,Safari,iOS,south_west,Unknown,50to100k,1,1,21,0,16753,1,1
21465,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,mid_west,Male,50to100k,1,1,14,0,1726,1,1
21477,Prior Visitor,Phone,WebSearch,Safari,iOS,west_coast,Female,50to100k,1,1,65,1,1847,1,1
21600,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,west_coast,Female,,1,1,17,0,382,1,1
21947,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,mid_west,Female,50to100k,1,1,70,1,3021,1,1
21995,Prior Visitor,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,50to100k,1,1,58,1,10906,1,1
22019,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,,Female,,1,1,170,1,8863,1,1
22335,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,west_coast,Female,Under50k,1,0,24,1,11988,1,1
22736,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,eastern,Female,100to250k,1,1,20,1,843,1,1
22795,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,1,38,0,1714,1,1
22811,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,west_coast,Female,,1,0,23,0,575,1,1
22816,Prior Visitor with Purchase,Phone,EmailFromWayfair,Chrome,Android,eastern,Female,,1,0,11,0,509,1,1
23011,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Female,50to100k,1,0,43,0,4000,1,1
23099,Prior Visitor with Purchase,Web,WebSearch,Safari,Mac OS X,mid_west,Male,Under50k,1,1,30,0,3825,1,1
23473,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,eastern,Female,50to100k,1,1,7,1,332,1,1
23647,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,,Unknown,,1,1,14,0,438,1,1
24009,Prior Visitor,Web,EmailFromWayfair,Safari,iOS,eastern,Unknown,50to100k,1,1,57,1,1619,1,1
24068,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,eastern,Female,50to100k,1,1,27,1,1250,1,1
24115,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,50to100k,1,1,166,0,8938,1,1
24173,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,100to250k,1,1,136,1,8587,1,1
24683,Prior Visitor with Purchase,Web,EmailFromWayfair,Safari,iOS,eastern,Female,100to250k,1,1,15,0,1833,1,1
24714,Prior Visitor with Purchase,Web,WebSearch,Microsoft Edge,Windows,,Unknown,,1,1,136,1,20967,1,1
24828,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,50to100k,1,1,60,0,2690,1,1
24899,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,,Unknown,,1,1,130,1,4264,1,1
25100,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Male,100to250k,1,0,81,1,2361,1,1
25118,Prior Visitor with Purchase,Phone,EmailFromWayfair,Safari,iOS,eastern,Female,Under50k,1,0,101,1,32435,1,1
25426,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Windows,eastern,Female,Under50k,1,1,27,0,2597,1,1
25495,Prior Visitor with Purchase,Web,WebSearch,Chrome,Mac OS X,eastern,Female,Under50k,1,1,16,0,467,1,1
25546,Prior Visitor,Web,WebSearch,Chrome,Windows,eastern,Female,,1,1,76,1,4690,1,1
26109,Prior Visitor with Purchase,Web,ThirdPartyAds,Safari,iOS,eastern,Male,100to250k,1,1,57,1,9633,1,1
26256,Prior Visitor,Web,ThirdPartyAds,Chrome,Windows,,,,1,1,13,0,274,1,1
26493,Prior Visitor,Web,WebSearch,Chrome,Windows,south_west,Male,100to250k,1,1,33,0,1408,1,1
26587,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,,Unknown,,1,1,29,0,8713,1,1
26738,Prior Visitor with Purchase,Web,WebSearch,Safari,iOS,eastern,Female,100to250k,1,1,86,0,4894,1,1
26798,Prior Visitor with Purchase,Web,WebSearch,Chrome,Windows,mid_west,Male,,1,1,11,0,117,1,1
26858,Prior Visitor with Purchase,Phone,WebSearch,Chrome,Android,,Unknown,,1,1,121,1,8356,1,1
26968,Prior Visitor,Web,WebSearch,Safari,iOS,west_coast,Male,,1,1,41,1,3196,1,1
27015,New Visitor,Web,WebSearch,Chrome,Mac OS X,,,,1,1,63,1,2709,1,1
27028,Prior Visitor,Web,WebSearch,Safari,iOS,eastern,Female,50to100k,1,1,30,1,5630,1,1
27090,Prior Visitor with Purchase,Web,ThirdPartyAds,Chrome,Mac OS X,eastern,Female,Under50k,1,1,21,0,6096,1,1
27120,Prior Visitor with Purchase,Web,ThirdPartyAds,Microsoft Edge,Windows,,Unknown,,1,0,24,1,1061,1,1
27539,Prior Visitor with Purchase,Web,EmailFromWayfair,Microsoft Edge,Windows,west_coast,Female,100to250k,1,1,34,0,7587,1,1
28078,Prior Visitor,Web,WebSearch,Chrome,Windows,eastern,Female,50to100k,1,1,90,0,8946,1,1
28103,Prior Visitor with Purchase,Web,EmailFromWayfair,Chrome,Windows,west_coast,Female,50to100k,1,1,55,1,19540,1,1
