web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1554395284-319","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@HOLSTEE","HOLSTEE","Thanks @DrSquatchSoapCo for hooking us up! #squeekycleanpic.twitter.com/aH4tHCQCAk","","1","3","1406750624000","1:03 PM - 30 Jul 2014","/HOLSTEE/status/494574081950248960"
"1554395284-276","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@MistyS317","Misty Shallcross","Win a new @mhmgear backpack filled with a years supply of soap from @DrSquatchSoapCo https://wn.nr/E6nNP3","","","2","1486567355000","7:22 AM - 8 Feb 2017","/MistyS317/status/829349715200221184"
"1554395284-377","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","As reported by The New York Times, between 1k and 3k new chemicals have been introduced  each year for the past 30 yrs- http://brev.is/W654","","","","1355270786000","4:06 PM - 11 Dec 2012","/DrSquatchSoapCo/status/278651993080360960"
"1554395284-286","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@moonb2","Barbara Moon","Branching Out:http://www.readingstyle.net/  @MargiPreus @gBrianKaras @lorenlong @DrSquatchSoapCo @arborday @JillMcElmurrypic.twitter.com/V1BPbSaC6C","1","5","7","1464826794000","5:19 PM - 1 Jun 2016","/moonb2/status/738163192715608064"
"1554395284-290","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@RadioBethany","Bethany Watson 🏳️‍🌈","Today's very manly #WhatsTrending features @Bonobos + @DrSquatchSoapCo!
http://elvisduran.iheart.com/articles/whats-trending-461825/whatstrending-ooh-sooo-maaanly-bonobos-dr-14496327/ …pic.twitter.com/3hjypZtcF5","3","3","16","1458132476000","5:47 AM - 16 Mar 2016","/RadioBethany/status/710085188760383492"
"1554395284-230","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@Alabamasodablas","Alabama Soda & Abrasive Blasting","Looks like everyone had a blast!","","2","7","1550439252000","1:34 PM - 17 Feb 2019","/Alabamasodablas/status/1097247871064293377"
"1554395284-303","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@cashley10","Craig Ashley","I'm pretty sure @DrSquatchSoapCo keeps sneaking in and adding more soap to my bar. That thing is lasting forever.","1","1","2","1443579798000","7:23 PM - 29 Sep 2015","/cashley10/status/649046833583538176"
"1554395284-361","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Lets go get it guys. #adventure #travel #roadtrips #go #explore #funhogging #befree #bathe #sasquatch http://instagram.com/p/dShmqUIQlV/","","","1","1377118958000","2:02 PM - 21 Aug 2013","/DrSquatchSoapCo/status/370289864866299904"
"1554395284-261","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@Noahsquote","Noah","Just got a bar of soap that smells like Christmas so I’ll be fa lalalaing in the shower for the next hour, thanks @DrSquatchSoapCo","1","","5","1509144219000","3:43 PM - 27 Oct 2017","/Noahsquote/status/924043946946367488"
"1554395284-270","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@awesomedadgear","Dad Gear Reviews","@DrSquatchSoapCo makes some awesome #manly #manscaping products. Check out our review of their soap at http://awesomedadgear.com/dr-squatch-mens-soap/ … #clean #wild","","2","2","1499435606000","6:53 AM - 7 Jul 2017","/awesomedadgear/status/883323073839157249"
"1554395284-374","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","There is a new review on Spearmint Basil Scrub - Thanks Joseph Burke . https://yotpo.com/go/1hwf","","","","1356676910000","10:41 PM - 27 Dec 2012","/DrSquatchSoapCo/status/284549703834673152"
"1554395284-203","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@livefrey","FREY","RT @SlideBelts:  HUGE GIVEAWAY  we’re partnering with @MizzenAndMain @DrSquatchSoapCo @ParkJamesHotel @GA and @livefrey to give you a chance to win over $2000 in products and services! Click below to enter. Good luck! 

https://bit.ly/2Wg1Caz pic.twitter.com/zq4646ES9T","","2","1","1554217254000","8:00 AM - 2 Apr 2019","/livefrey/status/1113093959872667648"
"1554395284-371","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","There is a new review on Eucalyptus Greek Yogurt - Thanks William Haushalter . https://yotpo.com/go/4zar","","","","1361240691000","6:24 PM - 18 Feb 2013","/DrSquatchSoapCo/status/303691587341414402"
"1554395284-321","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@smoksho","SmokSho","Clean it up with @DrSquatchSoapCo and @deejay_EJ! Get it at http://www.smoksho.com pic.twitter.com/GcbdbzPGE8","","1","2","1404788431000","8:00 PM - 7 Jul 2014","/smoksho/status/486344046302871552"
"1554395284-353","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Sometimes 'simple' and 'old school' is better....our soap's ingredients are as simple and timeless as… http://instagram.com/p/gGVFSkoQoA/","","","","1383152088000","9:54 AM - 30 Oct 2013","/DrSquatchSoapCo/status/395594646619185154"
"1554395284-363","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Squatch Seyz, ""Gettin down and dirty makes gettin fresh all the sweeter. Rinse, Sudz with Sasquatch Soap, and make an ahhhh noise""","","","","1375386921000","12:55 PM - 1 Aug 2013","/DrSquatchSoapCo/status/363025174968270849"
"1554395284-301","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@sprezzabox","SprezzaBox","Headed out East this weekend and can't forget the essentials @BrickellMen @DrSquatchSoapCo pic.twitter.com/NjdJtd5cih","","3","6","1446817403000","5:43 AM - 6 Nov 2015","/sprezzabox/status/662626333378367488"
"1554395284-257","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@StandMagazine1","STAND magazine","STAND magazine’s Father’s Day Gift Guide http://www.stand-magazine.com/stand-magazines-fathers-day-gift-guide/ … via @STANDmagazine1 @TommyJohn @DrSquatchSoapCo @UpliftingDad 
@MudLOVE @plugable @missionworkshop @StateBicycleCo @Echoscomm #fathersday #dad #gift","","5","7","1528124875000","8:07 AM - 4 Jun 2018","/StandMagazine1/status/1003654589294563328"
"1554395284-346","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Sasquatch showering vid from Sasquatch and Company!  Happy New Year Squatch Nation!  https://www.youtube.com/watch?v=-tAvZJVXt9I …","","1","1","1388534245000","3:57 PM - 31 Dec 2013","/DrSquatchSoapCo/status/418169050326245377"
"1554395284-311","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@KevinMathewson","Kevin Mathewson","Just got my first order of soap from @DrSquatchSoapCo. Going to have to take 5 showers today to try them all out! pic.twitter.com/AYLWPUZhMI","","2","3","1422288950000","8:15 AM - 26 Jan 2015","/KevinMathewson/status/559746545621680128"
"1554395284-316","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@Shopify","Shopify","""In a year we went from 500 in monthly revenue to being featured in Birchbox and men's journal"" @drsquatchsoapco http://bit.ly/1lNVFhe","","","7","1411045984000","6:13 AM - 18 Sep 2014","/Shopify/status/512590128389578752"
"1554395284-304","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@sprezzabox","SprezzaBox","What was your favorite item from the Empire Box? @bullandmoose @weekend_casual @saltdapper @drsquatchsoapco @yosoxpic.twitter.com/UTotP7JQL2","","3","5","1441844469000","5:21 PM - 9 Sep 2015","/sprezzabox/status/641768337375133696"
"1554395284-196","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@skiploadout","skiploadout","Maybe I'll pick up a bar and see how manly I can get!","","","","1554253212000","6:00 PM - 2 Apr 2019","/skiploadout/status/1113244777200246784"
"1554395284-378","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","Natural Products in the bathroom - what to consider when remodeling.. http://brev.is/V654","","","","1355097871000","4:04 PM - 9 Dec 2012","/DrSquatchSoapCo/status/277926731988488192"
"1554395284-302","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@Brewenthusiast","The Brew Enthusiast","It's like angels washed my body with the essence of the forest. Love the soap from @DrSquatchSoapCo!","1","1","2","1444845733000","11:02 AM - 14 Oct 2015","/Brewenthusiast/status/654356549431861248"
"1554395284-367","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","There is a new review on Sasquatch Gift Boxes - Thanks Eric T.. https://yotpo.com/go/1bi17  via @yotpopic.twitter.com/gaWAXPSXsP","","2","","1369665083000","7:31 AM - 27 May 2013","/DrSquatchSoapCo/status/339026046814941184"
"1554395284-359","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DrSquatchSoapCo","Dr. Squatch","""When one tugs at a single thing in nature he finds it attached to the rest of the world."" John Muir","","","1","1380761691000","5:54 PM - 2 Oct 2013","/DrSquatchSoapCo/status/385568597407313922"
"1554395284-289","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@ElvisDuranShow","Elvis Duran Show","#WhatsTrending: Ooh! Sooo Maaanly! @Bonobos + @DrSquatchSoapCo! --
http://elvisduran.iheart.com/articles/what-we-talked-about-136656/whatstrending-ooh-sooo-maaanly-bonobos-dr-14496327/#ixzz434nCo2L6 … via @RadioBethanypic.twitter.com/fYqXXCJ97u","1","2","10","1458138711000","7:31 AM - 16 Mar 2016","/ElvisDuranShow/status/710111340967436289"
"1554395284-278","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@jrjanis","Jeff Janis","Shoutout to @DrSquatchSoapCo for the all natural man soap! Check em out! pic.twitter.com/BHIkaceqoR","3","","31","1481586132000","3:42 PM - 12 Dec 2016","/jrjanis/status/808456952049176577"
"1554395284-206","https://twitter.com/search?l=&q=%40DrSquatchSoapCo&src=typd&lang=en","@DavidSicilian","David","@DrSquatchSoapCo I am placing my order for yoyr soap in just a few moments.   This will be the 1st time and probably the last time I break my solid rule of not patronizing any vendor where I am forced to watch a commercial before a video on YouTube. I'm ordering SOON! pic.twitter.com/9YmhFOdZOT","","1","2","1554062277000","12:57 PM - 31 Mar 2019","/DavidSicilian/status/1112443939238436864"
